,,Property,,,Chemical compositions,,,,,,,,,,,,,,,Processing actions,,,,,,,,
Number,Temperature(K),YS(Mpa),UTS(Mpa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ti(at%),Ta(at%),V(at%),Mn(at%),Cu(at%),Mo(at%),C(at%),V(at%),W(at%),Nb(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,
89,77,452.0,815.0,82.0,0.0,0.0,12.0,56.0,12.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,1273.0,1.0,,0,
90,298,140.0,398.0,98.0,0.0,10.0,9.8,39.9,0.0,0.0,0.0,0.0,40.3,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
91,77,,850.0,80.0,0.0,10.0,9.8,39.9,0.0,0.0,0.0,0.0,40.3,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
92,298,213.0,581.0,80.0,0.0,9.98,9.06,39.13,0.0,0.0,0.0,0.0,41.23,0.0,0.0,0.6,0.0,0.0,0.0,1473.0,0,,,,,,0,
93,77,510.0,1022.0,110.0,0.0,9.98,9.06,39.13,0.0,0.0,0.0,0.0,41.23,0.0,0.0,0.6,0.0,0.0,0.0,1473.0,0,,,,,,0,
94,298,191.0,484.0,80.0,0.0,9.7,9.8,38.3,0.0,0.0,0.0,0.0,40.5,0.0,1.7,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
95,77,,920.0,72.0,0.0,9.7,9.8,38.3,0.0,0.0,0.0,0.0,40.5,0.0,1.7,0.0,0.0,0.0,0.0,1473.0,0,,,,,,0,
96,77,384.0,947.7,96.9,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
97,183,251.0,660.0,78.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
98,223,212.0,584.0,76.9,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
99,273,196.6,563.5,67.8,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
100,297,178.4,522.7,63.5,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
101,373,152.4,466.3,56.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
102,473,126.4,423.9,53.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
103,77,527.9,1146.3,62.1,0.0,19.1,20.1,20.2,20.4,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
104,183,360.6,823.7,68.7,0.0,19.1,20.1,20.2,20.4,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
105,233,317.2,743.0,65.3,0.0,19.1,20.1,20.2,20.4,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
106,273,282.5,670.2,66.7,0.0,19.1,20.1,20.2,20.4,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
107,297,260.8,623.3,63.0,0.0,19.1,20.1,20.2,20.4,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
108,373,217.4,532.3,59.2,0.0,19.1,20.1,20.2,20.4,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
109,473,170.6,488.1,64.1,0.0,19.1,20.1,20.2,20.4,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
110,77,607.0,1302.0,51.0,0.0,18.3,20.1,20.3,19.9,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
111,183,420.4,953.8,70.6,0.0,18.3,20.1,20.3,19.9,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
112,233,379.4,857.5,66.7,0.0,18.3,20.1,20.3,19.9,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
113,273,321.5,753.4,65.7,0.0,18.3,20.1,20.3,19.9,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
114,297,295.5,698.8,68.0,0.0,18.3,20.1,20.3,19.9,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
115,373,248.6,620.7,70.1,0.0,18.3,20.1,20.3,19.9,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
116,473,204.4,566.1,69.0,0.0,18.3,20.1,20.3,19.9,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
117,77,612.9,1055.3,11.2,0.0,17.0,20.3,20.4,20.3,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
118,183,456.8,990.2,70.1,0.0,17.0,20.3,20.4,20.3,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
119,233,404.8,888.7,69.7,0.0,17.0,20.3,20.4,20.3,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
120,273,360.5,834.1,71.2,0.0,17.0,20.3,20.4,20.3,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
121,297,339.7,774.3,70.7,0.0,17.0,20.3,20.4,20.3,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
122,373,287.7,683.2,72.7,0.0,17.0,20.3,20.4,20.3,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
123,473,222.6,605.1,75.2,0.0,17.0,20.3,20.4,20.3,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,1473.0,2.0,,0,
124,298,960.0,990.0,14.0,10.0,22.5,22.5,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
125,77,1200.0,1350.0,35.0,10.0,22.5,22.5,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
126,298,350.0,580.0,53.0,10.0,22.5,22.5,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
127,77,530.0,890.0,89.0,10.0,22.5,22.5,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
128,298,428.0,5023.0,58.9,0.0,30.0,10.0,46.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,1373.0,0,,,1173.0,20.0,,0,
129,77,595.0,6356.0,56.2,0.0,30.0,10.0,46.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,1373.0,0,,,1173.0,20.0,,0,
130,298,417.0,5389.0,57.3,0.0,30.0,10.0,46.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1373.0,0,,,1173.0,20.0,,0,
131,77,557.0,6530.0,55.5,0.0,30.0,10.0,46.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1373.0,0,,,1173.0,20.0,,0,
132,298,624.0,739.0,32.6,0.0,19.87,20.1,20.09,20.08,0.0,0.0,0.0,19.85,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
133,298,573.0,728.0,34.5,0.0,19.87,20.1,20.09,20.08,0.0,0.0,0.0,19.85,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
134,298,306.0,694.0,57.3,0.0,19.87,20.1,20.09,20.08,0.0,0.0,0.0,19.85,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,0,,,1173.0,1.0,,0,
135,77,843.0,1134.0,29.9,0.0,19.87,20.1,20.09,20.08,0.0,0.0,0.0,19.85,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
136,77,799.0,1143.0,40.3,0.0,19.87,20.1,20.09,20.08,0.0,0.0,0.0,19.85,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,,,0,
137,77,586.0,1168.0,73.7,0.0,19.87,20.1,20.09,20.08,0.0,0.0,0.0,19.85,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,0,,,1173.0,1.0,,0,
