,Property,,,Chemical compositions,,,,,,,,,,,,,,,Processing actions,,,,,,,
Number,YS(Mpa),UTS(Mpa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ti(at%),Ta(at%),V(at%),Mn(at%),Cu(at%),Mo(at%),C(at%),V(at%),W(at%),Nb(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours
118,1040,1112,12,0,20.06,20.14,19.42,19.75,0,0,0,19.27,0,0,1.36,0,0,0,1493,95,298,0,973,1,298,0
119,819,997,19,0,20.06,20.14,19.42,19.75,0,0,0,19.27,0,0,1.36,0,0,0,1493,95,298,0,1073,1,298,0
120,600,836,24,0,20.06,20.14,19.42,19.75,0,0,0,19.27,0,0,1.36,0,0,0,1493,95,298,0,1173,1,298,0
121,522,849,31,0,20.06,20.14,19.42,19.75,0,0,0,19.27,0,0,1.36,0,0,0,1493,95,298,0,1273,1,298,0
122,1459,1534,5.7,5.27,18.82,17.95,19.47,18.37,0,0,0,20.12,0,0,0,0,0,0,1423,96,298,0,0,0,298,0
123,1540,1736,3.2,5.27,18.82,17.95,19.47,18.37,0,0,0,20.12,0,0,0,0,0,0,1423,96,298,0,773,1,298,0
124,1330,1330,1.9,5.27,18.82,17.95,19.47,18.37,0,0,0,20.12,0,0,0,0,0,0,1423,96,298,0,973,1,298,0
125,970,1080,7.9,5.27,18.82,17.95,19.47,18.37,0,0,0,20.12,0,0,0,0,0,0,1423,96,298,0,1073,1,298,0
126,660,860,11.5,5.27,18.82,17.95,19.47,18.37,0,0,0,20.12,0,0,0,0,0,0,1423,96,298,0,1173,1,298,0
127,390,694,29.7,5.27,18.82,17.95,19.47,18.37,0,0,0,20.12,0,0,0,0,0,0,1423,96,298,0,1273,1,298,0
128,227,560,33.5,5.27,18.82,17.95,19.47,18.37,0,0,0,20.12,0,0,0,0,0,0,1423,96,298,0,1373,1,298,0
129,210,565,71,0,0,4,40,28,0,0,0,28,0,0,0,0,0,0,1273,80,298,0,1123,0.5,298,0
130,245,545,66,0,0,12,40,20,0,0,0,28,0,0,0,0,0,0,1273,80,298,0,1123,0.5,298,0
131,310,605,54,0,0,18,40,14,0,0,0,28,0,0,0,0,0,0,1273,80,298,0,1123,0.5,298,0
132,243,433,60,6.96,23.26,23.26,23.26,23.26,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,298,0
